fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,current_p4p,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Nathan Fletcher,1998-01-03,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,"bantamweight, featherweight",16,16,16,16,3,1,0 KO 1 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,1,0,10.3,2550,2684,2667,2024-09-07,W - Zygimantas Ramaska,2025-08-02,L - Rinya Nakamura,NA,NA
Rob Font,1987-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Puerto Rico, United States",male,bantamweight,16,16,3,16,21,12,6 KO 1 Sub 5 Dec,9,0 KO 1 Sub 8 Dec,-2,4,5,4.3,2805,3211,2933,2014-07-05,W - George Roop,2026-03-07,L - Raul Rosas Jr.,NA,NA
Muin Gafurov,1996-05-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Tajikistan,male,bantamweight,16,16,16,16,5,2,0 KO 0 Sub 2 Dec,3,0 KO 2 Sub 1 Dec,-1,2,0,9.2,2829,2885,2862,2023-06-03,L - John Castaneda,2026-02-07,L - Jakub Wiklacz,NA,NA
Cody Garbrandt,1991-07-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,-1,5,17,10,6 KO 0 Sub 4 Dec,7,4 KO 1 Sub 2 Dec,1,6,4,4.7,2862,3151,2888,2015-01-03,W - Marcus Brimage,2026-03-07,W - Xiao Long,NA,NA
Cody Gibson,1987-09-11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,10,3,1 KO 1 Sub 1 Dec,7,1 KO 2 Sub 4 Dec,-2,2,1,8.6,2590,2837,2684,2014-02-22,L - Aljamain Sterling,2025-10-18,L - Aoriqileng,NA,NA
Davey Grant,1985-12-18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,bantamweight,16,16,16,16,15,8,3 KO 1 Sub 4 Dec,7,0 KO 4 Sub 3 Dec,-1,3,5,7.2,2876,3020,2732,2013-11-30,L - Chris Holdsworth,2025-10-18,L - Charles Jourdain,2026-04-25,Juan Martinetti
Chris Gutierrez,1991-04-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Colombia, Guatemala, United States",male,"bantamweight, featherweight",16,16,12,16,15,10,3 KO 0 Sub 7 Dec,4,0 KO 1 Sub 3 Dec,-1,4,1,8.1,2870,3005,2790,2018-11-30,L - Raoni Barcelos,2025-10-04,L - Farid Basharat,NA,NA
Cody Haddon,1998-09-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,bantamweight,16,16,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,11,2736,2736,2661,2024-10-12,W - Dan Argueta,2024-10-12,W - Dan Argueta,2026-05-30,Aoriqileng
Victor Henry,1987-05-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,7,4,1 KO 0 Sub 3 Dec,2,0 KO 1 Sub 1 Dec,1,1,0,7.6,2839,2989,2806,2022-01-22,W - Raoni Barcelos,2025-04-05,W - Pedro Falcao,NA,NA
Brady Hiestand,1999-04-30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,4,3,1 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,3,3,1,7,2747,2747,2578,2021-08-28,L - Ricky Turcios,2024-06-15,W - Garrett Armfield,NA,NA
Montel Jackson,1992-04-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,14,16,14,16,12,9,3 KO 1 Sub 5 Dec,3,0 KO 0 Sub 3 Dec,-1,6,2,8.6,3093,3141,2819,2018-08-04,L - Ricky Simon,2025-10-11,L - Deiveson Figueiredo,2026-04-25,Raoni Barcelos
Miles Johns,1994-03-30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, featherweight",16,16,16,16,12,7,2 KO 0 Sub 5 Dec,5,1 KO 2 Sub 2 Dec,-3,4,2,8,2788,3032,2754,2019-09-14,W - Cole Smith,2025-11-08,L - Daniel Marcos,NA,NA
Charles Jourdain,1995-11-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,bantamweight,16,16,16,16,16,8,2 KO 4 Sub 2 Dec,7,1 KO 1 Sub 5 Dec,2,2,4,6.3,3000,3000,2771,2019-05-18,L - Des Green,2025-10-18,W - Davey Grant,2026-04-18,Kyler Phillips
