fighter_name,country,date_of_birth,gender,weightclass,peak,peak p4p,bouts,wins,win_type,losses,loss_type,win_pct,best streak,last streak,bonus,peak elo,debut,debut_result,prev_bout,prev_result
Nick Osipczak,🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1984-12-30,male,welterweight,16,16,5,2,1 KO 1 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,0.4,2,-3,0,2482,2009-06-20,W - Frank Lester,2010-11-13,L - Duane Ludwig
Frank Lester,🇩🇪,1984-06-10,male,welterweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2170,2009-06-20,L - Nick Osipczak,2009-06-20,L - Nick Osipczak
James Wilks,🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1978-04-05,male,welterweight,16,16,4,2,0 KO 1 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,0.5,1,-1,0,2675,2009-06-20,W - DaMarques Johnson,2010-10-16,L - Claude Patrick
DaMarques Johnson,🇺🇸,1982-06-28,male,welterweight,16,16,10,4,2 KO 2 Sub 0 Dec,6,2 KO 4 Sub 0 Dec,0.4,2,-3,2,2701,2009-06-20,L - James Wilks,2012-09-29,L - Gunnar Nelson
Ricardo Lamas,🇺🇸,1982-05-21,male,featherweight,2,16,17,11,4 KO 3 Sub 4 Dec,6,3 KO 0 Sub 3 Dec,0.6470588235294118,4,1,3,3138,2011-06-26,W - Matt Grice,2020-08-29,W - Bill Algeo
Danny Castillo,🇺🇸,1979-08-25,male,lightweight,16,16,14,7,2 KO 0 Sub 5 Dec,7,2 KO 0 Sub 5 Dec,0.5,3,-4,1,2872,2011-03-03,W - Joe Stevenson,2015-12-19,L - Nik Lentz
Leonard Garcia,🇺🇸,1979-07-14,male,"featherweight, lightweight",16,16,9,2,0 KO 1 Sub 1 Dec,7,0 KO 1 Sub 6 Dec,0.2222222222222222,1,-5,3,2603,2007-04-07,L - Roger Huerta,2013-04-27,L - Cody McKenzie
Mike Russow,🇺🇸,1976-11-09,male,heavyweight,16,16,6,4,2 KO 0 Sub 2 Dec,2,2 KO 0 Sub 0 Dec,0.6666666666666666,4,-2,1,2821,2009-08-29,W - Justin McCully,2013-01-26,L - Shawn Jordan
Ross Pearson,🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1984-09-26,male,"featherweight, lightweight, welterweight",14,16,26,12,5 KO 0 Sub 7 Dec,13,4 KO 1 Sub 8 Dec,0.46153846153846156,3,-2,4,2875,2009-06-20,W - Andre Winner,2019-03-30,L - Des Green
Andre Winner,🇬🇧 🇬🇩 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1981-09-11,male,lightweight,16,16,6,2,1 KO 0 Sub 1 Dec,4,0 KO 1 Sub 3 Dec,0.3333333333333333,2,-3,0,2624,2009-06-20,L - Ross Pearson,2011-07-02,L - Anthony Njokuani
Cameron Dollar,🇺🇸,1987-05-12,male,lightweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0,-1,-1,0,2257,2009-06-20,L - Jason Dent,2009-06-20,L - Jason Dent
Jason Dent,🇺🇸,1980-06-12,male,lightweight,16,16,4,1,0 KO 1 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,0.25,1,-1,1,2444,2006-09-23,L - Roger Huerta,2009-11-21,L - George Sotiropoulos
Duane Ludwig,🇺🇸,1978-08-04,male,"lightweight, welterweight",16,16,9,4,1 KO 0 Sub 3 Dec,5,3 KO 2 Sub 0 Dec,0.4444444444444444,2,-3,0,2657,2003-04-25,W - Genki Sudo,2012-09-29,L - Che Mills
Bryan Caraway,🇺🇸,1984-08-04,male,"bantamweight, featherweight",3,16,10,6,0 KO 4 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,0.6,2,-2,2,2880,2011-12-03,W - Dustin Neace,2018-11-30,L - Pedro Munhoz
Dennis Hallman,🇺🇸,1975-02-12,male,"lightweight, welterweight, middleweight",16,16,9,4,1 KO 2 Sub 1 Dec,5,3 KO 0 Sub 2 Dec,0.4444444444444444,2,1,0,2779,2000-12-16,W - Matt Hughes,2011-12-10,W - John Makdessi
Jorge Gurgel,🇧🇷,1977-01-25,male,lightweight,16,16,7,3,0 KO 0 Sub 3 Dec,4,0 KO 1 Sub 3 Dec,0.42857142857142855,2,-2,2,2492,2006-06-28,L - Mark Hominick,2008-11-15,L - Aaron Riley
Chase Gormley,🇺🇸,1983-08-11,male,heavyweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,0,-1,-2,0,2487,2009-10-24,L - Stefan Struve,2010-03-21,L - Brendan Schaub
Ben Rothwell,🇺🇸,1981-10-17,male,heavyweight,4,16,17,9,4 KO 3 Sub 2 Dec,8,2 KO 1 Sub 5 Dec,0.5294117647058824,4,-1,3,3089,2009-10-24,L - Cain Velasquez,2021-11-13,L - Marcos Rogerio de Lima
Frank Trigg,🇺🇸,1972-05-07,male,welterweight,16,16,7,2,2 KO 0 Sub 0 Dec,5,2 KO 3 Sub 0 Dec,0.2857142857142857,2,-4,0,2699,2003-11-21,L - Matt Hughes,2010-02-06,L - Matt Serra
Jorge Santiago,🇧🇷,1980-10-09,male,"welterweight, middleweight",16,16,6,1,1 KO 0 Sub 0 Dec,5,3 KO 0 Sub 2 Dec,0.16666666666666666,1,-5,1,2784,2006-06-28,W - Justin Levens,2013-02-16,L - Gunnar Nelson
Chris Tuchscherer,🇺🇸,1975-09-08,male,heavyweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,3 KO 0 Sub 0 Dec,0.25,1,-2,0,2701,2009-08-29,L - Gabriel Gonzaga,2011-02-26,L - Mark Hunt
